a,ə,(∅ ə ∅)
municipal,mjuːˈnɪsɪpəl,(mj uː ∅) ˈ(n ɪ ∅) (s ɪ ∅) (p ə l)
murder,ˈmɜːdə,ˈ(m ɜː ∅) (d ə ∅)
muscle,ˈmʌsɫ̩,ˈ(m ʌ ∅) (s ɫ̩ ∅)
museum,mjuːˈziəm,(mj uː ∅) ˈ(z iə m)
mushroom,ˈmʌʃrʊm,ˈ(m ʌ ∅) (ʃr ʊ m)
music,ˈmjuːzɪk,ˈ(mj uː ∅) (z ɪ k)
musical,ˈmjuːzɪkəl,ˈ(mj uː ∅) (z ɪ ∅) (k ə l)
musician,mjuːˈzɪʃn̩,(mj uː ∅) ˈ(z ɪ ∅) (ʃ n̩ ∅)
muslim,ˈmʊzlɪm,ˈ(m ʊ z) (l ɪ m)
must,mʌst,(m ʌ st)
mutter,ˈmʌtə,ˈ(m ʌ ∅) (t ə ∅)
mutual,ˈmjuːʧʊəl,ˈ(mj uː ∅) (ʧ ʊə l)
my,maɪ,(m aɪ ∅)
myself,maɪˈself,(m aɪ ∅) ˈ(s e lf)
mysterious,mɪˈstɪːriəs,(m ɪ ∅) ˈ(st ɪː ∅) (r iə s)
mystery,ˈmɪstəri,ˈ(m ɪ ∅) (st ə ∅) (r i ∅)
myth,mɪθ,(m ɪ θ)
nail,neɪl,(n eɪ l)
naked,ˈneɪkɪd,ˈ(n eɪ ∅) (k ɪ d)
name,ˈneɪm,ˈ(n eɪ m)
narrative,ˈnarətɪv,ˈ(n a ∅) (r ə ∅) (t ɪ v)
narrow,ˈnarəʊ,ˈ(n a ∅) (r əʊ ∅)
nasty,ˈnɑːsti,ˈ(n ɑː ∅) (st i ∅)
nation,ˈneɪʃn̩,ˈ(n eɪ ∅) (ʃ n̩ ∅)
national,ˈnaʃnəl,ˈ(n a ∅) (ʃ ə ∅) (n ə l)
nationwide,ˈneɪʃn̩waɪd,ˈ(n eɪ ∅) (ʃ n̩ ∅) (w aɪ d)
native,ˈneɪtɪv,ˈ(n eɪ ∅) (t ɪ v)
natural,ˈnaʧrəl,ˈ(n a ʧ) (r ə l)
naturally,ˈnaʧrəli,ˈ(n a ʧ) (r ə ∅) (l i ∅)
nature,ˈneɪʧə,ˈ(n eɪ ∅) (ʧ ə ∅)
naval,ˈneɪvəl,ˈ(n eɪ ∅) (v ə l)
near,niə,(n iə ∅)
nearby,ˈniəbaɪ,ˈ(n iə ∅) (b aɪ ∅)
nearly,ˈniəli,ˈ(n iə ∅) (l i ∅)
neat,niːt,(n iː t)
necessary,ˈnesəsəri,ˈ(n e ∅) (s ə ∅) (s ə ∅) (r i ∅)
necessity,nɪˈsesɪti,(n ɪ ∅) ˈ(s e ∅) (s ɪ ∅) (t i ∅)
neck,nek,(n e k)
need,niːd,(n iː d)
needle,ˈniːdɫ̩,ˈ(n iː ∅) (d ɫ̩ ∅)
negative,ˈnegətɪv,ˈ(n e ∅) (g ə ∅) (t ɪ v)
negotiate,nɪˈgəʊʃɪeɪt,(n ɪ ∅) ˈ(g əʊ ∅) (ʃ ɪ ∅) (∅ eɪ t)
negotiation,nɪˌgəʊʃɪˈeɪʃn̩,(n ɪ ∅) ˌ(g əʊ ∅) (ʃ ɪ ∅) ˈ(∅ eɪ ∅) (ʃ n̩ ∅)
neighbour,ˈneɪbə,ˈ(n eɪ ∅) (b ə ∅)
neighbourhood,ˈneɪbəhʊd,ˈ(n eɪ ∅) (b ə ∅) (h ʊ d)
neighbouring,ˈneɪbərɪŋ,ˈ(n eɪ ∅) (b ə ∅) (r ɪ ŋ)
neither,ˈnaɪðə,ˈ(n aɪ ∅) (ð ə ∅)
nerve,nɜːv,(n ɜː v)
nervous,ˈnɜːvəs,ˈ(n ɜː ∅) (v ə s)
nest,nest,(n e st)
net,net,(n e t)
network,ˈnetwɜːk,ˈ(n e t) (w ɜː k)
neutral,ˈnjuːtrəl,ˈ(nj uː ∅) (tr ə l)
never,ˈnevə,ˈ(n e ∅) (v ə ∅)
nevertheless,ˌnevəðəˈles,ˌ(n e ∅) (v ə ∅) (ð ə ∅) ˈ(l e s)
new,njuː,(nj uː ∅)
newly,ˈnjuːli,ˈ(nj uː ∅) (l i ∅)
news,njuːz,(nj uː z)
newspaper,ˈnjuːspeɪpə,ˈ(nj uː s) (p eɪ ∅) (p ə ∅)
next,nekst,(n e kst)
nice,naɪs,(n aɪ s)
night,naɪt,(n aɪ t)
nightmare,ˈnaɪtmeə,ˈ(n aɪ t) (m eə ∅)
nine,naɪn,(n aɪ n)
no,nəʊ,(n əʊ ∅)
nobody,ˈnəʊbədi,ˈ(n əʊ ∅) (b ə ∅) (d i ∅)
nod,nɒd,(n ɒ d)
noise,nɔɪz,(n ɔɪ z)
nomination,ˌnɒmɪˈneɪʃn̩,ˌ(n ɒ ∅) (m ɪ ∅) ˈ(n eɪ ∅) (ʃ n̩ ∅)
nominee,ˌnɒmɪˈniː,ˌ(n ɒ ∅) (m ɪ ∅) ˈ(n iː ∅)
none,nʌn,(n ʌ n)
nonetheless,ˌnʌnðəˈles,ˌ(n ʌ n) (ð ə ∅) ˈ(l e s)
nonprofit,nanˈprɑːfət,(n a n) ˈ(pr ɑː ∅) (f ə t)
noon,nuːn,(n uː n)
nor,nɔː,(n ɔː ∅)
norm,nɔːm,(n ɔː m)
normal,ˈnɔːməl,ˈ(n ɔː ∅) (m ə l)
normally,ˈnɔːməli,ˈ(n ɔː ∅) (m ə ∅) (l i ∅)
north,nɔːθ,(n ɔː θ)
northeast,nɔːθˈiːst,(n ɔː θ) ˈ(∅ iː st)
northern,ˈnɔːðən,ˈ(n ɔː ∅) (ð ə n)
northwest,nɔːθˈwest,(n ɔː θ) ˈ(w e st)
nose,nəʊz,(n əʊ z)
not,nɒt,(n ɒ t)
note,nəʊt,(n əʊ t)
notebook,ˈnəʊtbʊk,ˈ(n əʊ t) (b ʊ k)
nothing,ˈnʌθɪŋ,ˈ(n ʌ ∅) (θ ɪ ŋ)
notice,ˈnəʊtɪs,ˈ(n əʊ ∅) (t ɪ s)
notion,ˈnəʊʃn̩,ˈ(n əʊ ∅) (ʃ n̩ ∅)
novel,ˈnɒvəl,ˈ(n ɒ ∅) (v ə l)
now,naʊ,(n aʊ ∅)
nowhere,ˈnəʊweə,ˈ(n əʊ ∅) (w eə ∅)
nuclear,ˈnjuːkliə,ˈ(nj uː ∅) (kl iə ∅)
number,ˈnʌmbə,ˈ(n ʌ m) (b ə ∅)
numerous,ˈnjuːmərəs,ˈ(nj uː ∅) (m ə ∅) (r ə s)
nurse,nɜːs,(n ɜː s)
nut,nʌt,(n ʌ t)
nutrient,ˈnjuːtriənt,ˈ(nj uː ∅) (tr iə nt)
oak,əʊk,(∅ əʊ k)
object,əbˈʤekt,(∅ ə b) ˈ(ʤ e kt)
objection,əbˈʤekʃn̩,(∅ ə b) ˈ(ʤ e k) (ʃ n̩ ∅)
objective,əbˈʤektɪv,(∅ ə b) ˈ(ʤ e k) (t ɪ v)
obligation,ˌɒblɪˈgeɪʃn̩,ˌ(∅ ɒ ∅) (bl ɪ ∅) ˈ(g eɪ ∅) (ʃ n̩ ∅)
observation,ˌɒbzəˈveɪʃn̩,ˌ(∅ ɒ b) (z ə ∅) ˈ(v eɪ ∅) (ʃ n̩ ∅)
observe,əbˈzɜːv,(∅ ə b) ˈ(z ɜː v)
observer,əbˈzɜːvə,(∅ ə b) ˈ(z ɜː ∅) (v ə ∅)
obstacle,ˈɒbstəkɫ̩,ˈ(∅ ɒ b) (st ə ∅) (k ɫ̩ ∅)
obtain,əbˈteɪn,(∅ ə b) ˈ(t eɪ n)
obvious,ˈɒbviəs,ˈ(∅ ɒ b) (v iə s)
obviously,ˈɒbviəsli,ˈ(∅ ɒ b) (v iə s) (l i ∅)
occasion,əˈkeɪʒn̩,(∅ ə ∅) ˈ(k eɪ ∅) (ʒ n̩ ∅)
occasional,əˈkeɪʒənəl,(∅ ə ∅) ˈ(k eɪ ∅) (ʒ ə ∅) (n ə l)
occasionally,əˈkeɪʒənəli,(∅ ə ∅) ˈ(k eɪ ∅) (ʒ ə ∅) (n ə ∅) (l i ∅)
occupation,ˌɒkjʊˈpeɪʃn̩,ˌ(∅ ɒ ∅) (kj ʊ ∅) ˈ(p eɪ ∅) (ʃ n̩ ∅)
occupy,ˈɒkjʊpaɪ,ˈ(∅ ɒ ∅) (kj ʊ ∅) (p aɪ ∅)
occur,əˈkɜː,(∅ ə ∅) ˈ(k ɜː ∅)
ocean,ˈəʊʃn̩,ˈ(∅ əʊ ∅) (ʃ n̩ ∅)
odd,ɒd,(∅ ɒ d)
odds,ɒdz,(∅ ɒ dz)
of,ɒv,(∅ ɒ v)
off,ɒf,(∅ ɒ f)
offender,əˈfendə,(∅ ə ∅) ˈ(f e n) (d ə ∅)
offense,əˈfens,(∅ ə ∅) ˈ(f e ns)
offensive,əˈfensɪv,(∅ ə ∅) ˈ(f e n) (s ɪ v)
offer,ˈɒfə,ˈ(∅ ɒ ∅) (f ə ∅)
offering,ˈɒfərɪŋ,ˈ(∅ ɒ ∅) (f ə ∅) (r ɪ ŋ)
office,ˈɒfɪs,ˈ(∅ ɒ ∅) (f ɪ s)
officer,ˈɒfɪsə,ˈ(∅ ɒ ∅) (f ɪ ∅) (s ə ∅)
official,əˈfɪʃəl,(∅ ə ∅) ˈ(f ɪ ∅) (ʃ ə l)
officially,əˈfɪʃəli,(∅ ə ∅) ˈ(f ɪ ∅) (ʃ ə ∅) (l i ∅)
often,ˈɒfn̩,ˈ(∅ ɒ ∅) (f n̩ ∅)
oil,ɔɪl,(∅ ɔɪ l)
okay,ˌəʊˈkeɪ,ˌ(∅ əʊ ∅) ˈ(k eɪ ∅)
old,əʊld,(∅ əʊ ld)
old-fashioned,əʊlˈfaʃn̩d,(∅ əʊ l) ˈ(f a ∅) (ʃ n̩ d)
olympic,əˈlɪmpɪk,(∅ ə ∅) ˈ(l ɪ m) (p ɪ k)
olympics,əˈlɪmpɪks,(∅ ə ∅) ˈ(l ɪ m) (p ɪ ks)
on,ɒn,(∅ ɒ n)
once,wʌns,(w ʌ ns)
one,wʌn,(w ʌ n)
ongoing,ˌɒnˈgəʊiŋ,ˌ(∅ ɒ n) ˈ(g əʊ ∅) (∅ i ŋ)
onion,ˈʌnjən,ˈ(∅ ʌ ∅) (nj ə n)
online,ˈɒnˌlaɪn,ˈ(∅ ɒ n) ˌ(l aɪ n)
only,ˈəʊnli,ˈ(∅ əʊ n) (l i ∅)
onto,ˈɒntu,ˈ(∅ ɒ n) (t u ∅)
open,ˈəʊpən,ˈ(∅ əʊ ∅) (p ə n)
opening,ˈəʊpənɪŋ,ˈ(∅ əʊ ∅) (p ə ∅) (n ɪ ŋ)
openly,ˈəʊpənli,ˈ(∅ əʊ ∅) (p ə n) (l i ∅)
opera,ˈɒprə,ˈ(∅ ɒ ∅) (pr ə ∅)
operate,ˈɒpəreɪt,ˈ(∅ ɒ ∅) (p ə ∅) (r eɪ t)
operating,ˈɒpəreɪtɪŋ,ˈ(∅ ɒ ∅) (p ə ∅) (r eɪ ∅) (t ɪ ŋ)
operation,ˌɒpəˈreɪʃn̩,ˌ(∅ ɒ ∅) (p ə ∅) ˈ(r eɪ ∅) (ʃ n̩ ∅)
operator,ˈɒpəreɪtə,ˈ(∅ ɒ ∅) (p ə ∅) (r eɪ ∅) (t ə ∅)
opinion,əˈpɪniən,(∅ ə ∅) ˈ(p ɪ ∅) (n iə n)
opponent,əˈpəʊnənt,(∅ ə ∅) ˈ(p əʊ ∅) (n ə nt)
opportunity,ˌɒpəˈtjuːnɪti,ˌ(∅ ɒ ∅) (p ə ∅) ˈ(tj uː ∅) (n ɪ ∅) (t i ∅)
oppose,əˈpəʊz,(∅ ə ∅) ˈ(p əʊ z)
opposed,əˈpəʊzd,(∅ ə ∅) ˈ(p əʊ zd)
opposite,ˈɒpəzɪt,ˈ(∅ ɒ ∅) (p ə ∅) (z ɪ t)
opposition,ˌɒpəˈzɪʃn̩,ˌ(∅ ɒ ∅) (p ə ∅) ˈ(z ɪ ∅) (ʃ n̩ ∅)
opt,ɒpt,(∅ ɒ pt)
optimistic,ˌɒptɪˈmɪstɪk,ˌ(∅ ɒ p) (t ɪ ∅) ˈ(m ɪ ∅) (st ɪ k)
option,ˈɒpʃn̩,ˈ(∅ ɒ p) (ʃ n̩ ∅)
or,ɔː,(∅ ɔː ∅)
oral,ˈɔːrəl,ˈ(∅ ɔː ∅) (r ə l)
orange,ˈɒrɪnʤ,ˈ(∅ ɒ ∅) (r ɪ nʤ)
orbit,ˈɔːbɪt,ˈ(∅ ɔː ∅) (b ɪ t)
order,ˈɔːdə,ˈ(∅ ɔː ∅) (d ə ∅)
ordinary,ˈɔːdɪnri,ˈ(∅ ɔː ∅) (d ɪ n) (r i ∅)
organ,ˈɔːgən,ˈ(∅ ɔː ∅) (g ə n)
organic,ɔːˈganɪk,(∅ ɔː ∅) ˈ(g a ∅) (n ɪ k)
organism,ˈɔːgənɪzəm,ˈ(∅ ɔː ∅) (g ə ∅) (n ɪ ∅) (z ə m)
organisation,ˌɔːgənəˈzeɪʃən,ˌ(∅ ɔː ∅) (g ə ∅) (n ə ∅) ˈ(z eɪ ∅) (ʃ ə n)
organisational,ˌɔːgənəˈzeɪʃənəl,ˌ(∅ ɔː ∅) (g ə ∅) (n ə ∅) ˈ(z eɪ ∅) (ʃ ə ∅) (n ə l)
organise,ˈɔːgənaɪz,ˈ(∅ ɔː ∅) (g ə ∅) (n aɪ z)
organised,ˈɔːgənaɪzd,ˈ(∅ ɔː ∅) (g ə ∅) (n aɪ zd)
orientation,ˌɔːrɪenˈteɪʃn̩,ˌ(∅ ɔː ∅) (r ɪ ∅) (∅ e n) ˈ(t eɪ ∅) (ʃ n̩ ∅)
origin,ˈɒrɪʤɪn,ˈ(∅ ɒ ∅) (r ɪ ∅) (ʤ ɪ n)
original,əˈrɪʤn̩əl,(∅ ə ∅) ˈ(r ɪ ∅) (ʤ n̩ ∅) (∅ ə l)
originally,əˈrɪʤn̩əli,(∅ ə ∅) ˈ(r ɪ ∅) (ʤ n̩ ∅) (∅ ə ∅) (l i ∅)
other,ˈʌðə,ˈ(∅ ʌ ∅) (ð ə ∅)
otherwise,ˈʌðəwaɪz,ˈ(∅ ʌ ∅) (ð ə ∅) (w aɪ z)
ought,ˈɔːt,ˈ(∅ ɔː t)
our,ˈaʊə,ˈ(∅ aʊ ∅) (∅ ə ∅)
ours,ˈaʊəz,ˈ(∅ aʊ ∅) (∅ ə z)
ourselves,aʊəˈselvz,(∅ aʊ ∅) (∅ ə ∅) ˈ(s e lvz)
out,ˈaʊt,ˈ(∅ aʊ t)
outcome,ˈaʊtkʌm,ˈ(∅ aʊ t) (k ʌ m)
outdoor,ˈaʊtdɔː,ˈ(∅ aʊ t) (d ɔː ∅)
outer,ˈaʊtə,ˈ(∅ aʊ ∅) (t ə ∅)
outfit,ˈaʊtfɪt,ˈ(∅ aʊ t) (f ɪ t)
outlet,ˈaʊtlet,ˈ(∅ aʊ t) (l e t)
outline,ˈaʊtlaɪn,ˈ(∅ aʊ t) (l aɪ n)
output,ˈaʊtpʊt,ˈ(∅ aʊ t) (p ʊ t)
outside,ˌaʊtˈsaɪd,ˌ(∅ aʊ t) ˈ(s aɪ d)
outsider,ˌaʊtˈsaɪdə,ˌ(∅ aʊ t) ˈ(s aɪ ∅) (d ə ∅)
outstanding,ˌaʊtˈstandɪŋ,ˌ(∅ aʊ t) ˈ(st a n) (d ɪ ŋ)
oven,ˈʌvn̩,ˈ(∅ ʌ ∅) (v n̩ ∅)
over,ˈəʊvə,ˈ(∅ əʊ ∅) (v ə ∅)
overall,ˌəʊvəˈrɔːl,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(r ɔː l)
overcome,ˌəʊvəˈkʌm,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(k ʌ m)
overlook,ˌəʊvəˈlʊk,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(l ʊ k)
overnight,ˌəʊvəˈnaɪt,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(n aɪ t)
oversee,ˌəʊvəˈsiː,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(s iː ∅)
overwhelm,ˌəʊvəˈwelm,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(w e lm)
overwhelming,ˌəʊvəˈwelmɪŋ,ˌ(∅ əʊ ∅) (v ə ∅) ˈ(w e l) (m ɪ ŋ)
owe,əʊ,(∅ əʊ ∅)
own,əʊn,(∅ əʊ n)
owner,ˈəʊnə,ˈ(∅ əʊ ∅) (n ə ∅)
ownership,ˈəʊnəʃɪp,ˈ(∅ əʊ ∅) (n ə ∅) (ʃ ɪ p)
oxygen,ˈɒksɪʤən,ˈ(∅ ɒ k) (s ɪ ∅) (ʤ ə n)
pace,peɪs,(p eɪ s)
pack,pak,(p a k)
pack,pak,(p a k)
package,ˈpakɪʤ,ˈ(p a ∅) (k ɪ ʤ)
pad,pad,(p a d)
page,peɪʤ,(p eɪ ʤ)
pain,peɪn,(p eɪ n)
painful,ˈpeɪnfəl,ˈ(p eɪ n) (f ə l)
paint,peɪnt,(p eɪ nt)
painter,ˈpeɪntə,ˈ(p eɪ n) (t ə ∅)
painting,ˈpeɪntɪŋ,ˈ(p eɪ n) (t ɪ ŋ)
pair,peə,(p eə ∅)
palace,ˈpalɪs,ˈ(p a ∅) (l ɪ s)
pale,peɪl,(p eɪ l)
palestinian,ˌpaləˈstɪniən,ˌ(p a ∅) (l ə ∅) ˈ(st ɪ ∅) (n iə n)
palm,pɑːm,(p ɑː m)
pan,pan,(p a n)
panel,ˈpanəl,ˈ(p a ∅) (n ə l)
panic,ˈpanɪk,ˈ(p a ∅) (n ɪ k)
pant,pant,(p a nt)
paper,ˈpeɪpə,ˈ(p eɪ ∅) (p ə ∅)
parade,pəˈreɪd,(p ə ∅) ˈ(r eɪ d)
parent,ˈpeərənt,ˈ(p eə ∅) (r ə nt)
parental,pəˈrentəl,(p ə ∅) ˈ(r e n) (t ə l)
parish,ˈparɪʃ,ˈ(p a ∅) (r ɪ ʃ)
park,pɑːk,(p ɑː k)
parking,ˈpɑːkɪŋ,ˈ(p ɑː ∅) (k ɪ ŋ)
part,pɑːt,(p ɑː t)
partial,ˈpɑːʃəl,ˈ(p ɑː ∅) (ʃ ə l)
partially,ˈpɑːʃəli,ˈ(p ɑː ∅) (ʃ ə ∅) (l i ∅)
participant,pɑːˈtɪsɪpənt,(p ɑː ∅) ˈ(t ɪ ∅) (s ɪ ∅) (p ə nt)
participate,pɑːˈtɪsɪpeɪt,(p ɑː ∅) ˈ(t ɪ ∅) (s ɪ ∅) (p eɪ t)
participation,pɑːˌtɪsɪˈpeɪʃn̩,(p ɑː ∅) ˌ(t ɪ ∅) (s ɪ ∅) ˈ(p eɪ ∅) (ʃ n̩ ∅)
particle,ˈpɑːtɪkɫ̩,ˈ(p ɑː ∅) (t ɪ ∅) (k ɫ̩ ∅)
particular,pəˈtɪkjʊlə,(p ə ∅) ˈ(t ɪ ∅) (kj ʊ ∅) (l ə ∅)
particularly,pəˈtɪkjʊləli,(p ə ∅) ˈ(t ɪ ∅) (kj ʊ ∅) (l ə ∅) (l i ∅)
partly,ˈpɑːtli,ˈ(p ɑː t) (l i ∅)
partner,ˈpɑːtnə,ˈ(p ɑː t) (n ə ∅)
partnership,ˈpɑːtnəʃɪp,ˈ(p ɑː t) (n ə ∅) (ʃ ɪ p)
party,ˈpɑːti,ˈ(p ɑː ∅) (t i ∅)
pass,pɑːs,(p ɑː s)
passage,ˈpasɪʤ,ˈ(p a ∅) (s ɪ ʤ)
passenger,ˈpasɪnʤə,ˈ(p a ∅) (s ɪ n) (ʤ ə ∅)
passing,ˈpɑːsɪŋ,ˈ(p ɑː ∅) (s ɪ ŋ)
passion,ˈpaʃn̩,ˈ(p a ∅) (ʃ n̩ ∅)
past,pɑːst,(p ɑː st)
pasta,ˈpastə,ˈ(p a ∅) (st ə ∅)
pastor,ˈpɑːstə,ˈ(p ɑː ∅) (st ə ∅)
pat,pat,(p a t)
patch,paʧ,(p a ʧ)
patent,ˈpeɪtənt,ˈ(p eɪ ∅) (t ə nt)
path,pɑːθ,(p ɑː θ)
patience,ˈpeɪʃəns,ˈ(p eɪ ∅) (ʃ ə ns)
patient,ˈpeɪʃənt,ˈ(p eɪ ∅) (ʃ ə nt)
patrol,pəˈtrəʊl,(p ə ∅) ˈ(tr əʊ l)
patron,ˈpeɪtrən,ˈ(p eɪ ∅) (tr ə n)
pattern,ˈpatn̩,ˈ(p a ∅) (t n̩ ∅)
pause,pɔːz,(p ɔː z)
pay,peɪ,(p eɪ ∅)
payment,ˈpeɪmənt,ˈ(p eɪ ∅) (m ə nt)
peace,piːs,(p iː s)
peaceful,ˈpiːsfəl,ˈ(p iː s) (f ə l)
peak,piːk,(p iː k)
peanut,ˈpiːnʌt,ˈ(p iː ∅) (n ʌ t)
peasant,ˈpesənt,ˈ(p e ∅) (s ə nt)
peel,piːl,(p iː l)
peer,piə,(p iə ∅)
pen,pen,(p e n)
penalty,ˈpenɫ̩ti,ˈ(p e ∅) (n ɫ̩ ∅) (t i ∅)
pencil,ˈpensɫ̩,ˈ(p e n) (s ɫ̩ ∅)
pension,ˈpenʃn̩,ˈ(p e n) (ʃ n̩ ∅)
people,ˈpiːpɫ̩,ˈ(p iː ∅) (p ɫ̩ ∅)
pepper,ˈpepə,ˈ(p e ∅) (p ə ∅)
per,pɜː,(p ɜː ∅)
perceive,pəˈsiːv,(p ə ∅) ˈ(s iː v)
perceived,pəˈsiːvd,(p ə ∅) ˈ(s iː vd)
percentage,pəˈsentɪʤ,(p ə ∅) ˈ(s e n) (t ɪ ʤ)
perception,pəˈsepʃn̩,(p ə ∅) ˈ(s e p) (ʃ n̩ ∅)
perfect,pəˈfekt,(p ə ∅) ˈ(f e kt)
perfectly,ˈpɜːfɪktli,ˈ(p ɜː ∅) (f ɪ kt) (l i ∅)
perform,pəˈfɔːm,(p ə ∅) ˈ(f ɔː m)
performance,pəˈfɔːməns,(p ə ∅) ˈ(f ɔː ∅) (m ə ns)
performer,pəˈfɔːmə,(p ə ∅) ˈ(f ɔː ∅) (m ə ∅)
perhaps,pəˈhaps,(p ə ∅) ˈ(h a ps)
period,ˈpɪːriəd,ˈ(p ɪː ∅) (r iə d)
permanent,ˈpɜːmənənt,ˈ(p ɜː ∅) (m ə ∅) (n ə nt)
permission,pəˈmɪʃn̩,(p ə ∅) ˈ(m ɪ ∅) (ʃ n̩ ∅)
permit,pəˈmɪt,(p ə ∅) ˈ(m ɪ t)
persian,ˈpɜːʃn̩,ˈ(p ɜː ∅) (ʃ n̩ ∅)
persist,pəˈsɪst,(p ə ∅) ˈ(s ɪ st)
person,ˈpɜːsn̩,ˈ(p ɜː ∅) (s n̩ ∅)
personal,ˈpɜːsənəl,ˈ(p ɜː ∅) (s ə ∅) (n ə l)
personality,ˌpɜːsəˈnalɪti,ˌ(p ɜː ∅) (s ə ∅) ˈ(n a ∅) (l ɪ ∅) (t i ∅)
personally,ˈpɜːsənəli,ˈ(p ɜː ∅) (s ə ∅) (n ə ∅) (l i ∅)
personnel,ˌpɜːsəˈnel,ˌ(p ɜː ∅) (s ə ∅) ˈ(n e l)
perspective,pəˈspektɪv,(p ə ∅) ˈ(sp e k) (t ɪ v)
persuade,pəˈsweɪd,(p ə ∅) ˈ(sw eɪ d)
pet,pet,(p e t)
phase,feɪz,(f eɪ z)
phenomenon,fɪˈnɒmɪnən,(f ɪ ∅) ˈ(n ɒ ∅) (m ɪ ∅) (n ə n)
philosophical,ˌfɪləˈsɒfɪkəl,ˌ(f ɪ ∅) (l ə ∅) ˈ(s ɒ ∅) (f ɪ ∅) (k ə l)
philosophy,fɪˈlɒsəfi,(f ɪ ∅) ˈ(l ɒ ∅) (s ə ∅) (f i ∅)
phone,fəʊn,(f əʊ n)
photo,ˈfəʊtəʊ,ˈ(f əʊ ∅) (t əʊ ∅)
photograph,ˈfəʊtəgrɑːf,ˈ(f əʊ ∅) (t ə ∅) (gr ɑː f)
photographer,fəˈtɒgrəfə,(f ə ∅) ˈ(t ɒ ∅) (gr ə ∅) (f ə ∅)
photography,fəˈtɒgrəfi,(f ə ∅) ˈ(t ɒ ∅) (gr ə ∅) (f i ∅)
phrase,freɪz,(fr eɪ z)
physical,ˈfɪzɪkəl,ˈ(f ɪ ∅) (z ɪ ∅) (k ə l)
physically,ˈfɪzɪkli,ˈ(f ɪ ∅) (z ɪ ∅) (kl i ∅)
physician,fɪˈzɪʃn̩,(f ɪ ∅) ˈ(z ɪ ∅) (ʃ n̩ ∅)
physics,ˈfɪzɪks,ˈ(f ɪ ∅) (z ɪ ks)
piano,pɪˈanəʊ,(p ɪ ∅) ˈ(∅ a ∅) (n əʊ ∅)
pick,pɪk,(p ɪ k)
pickup,ˈpɪkʌp,ˈ(p ɪ ∅) (k ʌ p)
picture,ˈpɪkʧə,ˈ(p ɪ k) (ʧ ə ∅)
pie,paɪ,(p aɪ ∅)
piece,piːs,(p iː s)
pig,pɪg,(p ɪ g)
pile,paɪl,(p aɪ l)
pill,pɪl,(p ɪ l)
pillow,ˈpɪləʊ,ˈ(p ɪ ∅) (l əʊ ∅)
pilot,ˈpaɪlət,ˈ(p aɪ ∅) (l ə t)
pin,pɪn,(p ɪ n)
pine,paɪn,(p aɪ n)
pink,pɪŋk,(p ɪ ŋk)
pioneer,ˌpaɪəˈniə,ˌ(p aɪ ∅) (∅ ə ∅) ˈ(n iə ∅)
pipe,paɪp,(p aɪ p)
pistol,ˈpɪstəl,ˈ(p ɪ ∅) (st ə l)
pit,pɪt,(p ɪ t)
pitch,pɪʧ,(p ɪ ʧ)
pitcher,ˈpɪʧə,ˈ(p ɪ ∅) (ʧ ə ∅)
pizza,ˈpiːtsə,ˈ(p iː t) (s ə ∅)
place,ˈpleɪs,ˈ(pl eɪ s)
placement,ˈpleɪsmənt,ˈ(pl eɪ s) (m ə nt)
plain,pleɪn,(pl eɪ n)
plaintiff,ˈpleɪntɪf,ˈ(pl eɪ n) (t ɪ f)
plan,plan,(pl a n)
plane,pleɪn,(pl eɪ n)
planet,ˈplanɪt,ˈ(pl a ∅) (n ɪ t)
planner,ˈplanə,ˈ(pl a ∅) (n ə ∅)
planning,ˈplanɪŋ,ˈ(pl a ∅) (n ɪ ŋ)
plant,plɑːnt,(pl ɑː nt)
plastic,ˈplastɪk,ˈ(pl a ∅) (st ɪ k)
plate,pleɪt,(pl eɪ t)
platform,ˈplatfɔːm,ˈ(pl a t) (f ɔː m)
play,ˈpleɪ,ˈ(pl eɪ ∅)
player,ˈpleɪə,ˈ(pl eɪ ∅) (∅ ə ∅)
playoff,ˈpleɪɒf,ˈ(pl eɪ ∅) (∅ ɒ f)
plea,pliː,(pl iː ∅)
plead,pliːd,(pl iː d)
pleasant,ˈplezənt,ˈ(pl e ∅) (z ə nt)
please,pliːz,(pl iː z)
please,pliːz,(pl iː z)
pleased,pliːzd,(pl iː zd)
pleasure,ˈpleʒə,ˈ(pl e ∅) (ʒ ə ∅)
plenty,ˈplenti,ˈ(pl e n) (t i ∅)
plot,plɒt,(pl ɒ t)
plunge,plʌnʤ,(pl ʌ nʤ)
plus,plʌs,(pl ʌ s)
pocket,ˈpɒkɪt,ˈ(p ɒ ∅) (k ɪ t)
poem,ˈpəʊɪm,ˈ(p əʊ ∅) (∅ ɪ m)
poet,ˈpəʊɪt,ˈ(p əʊ ∅) (∅ ɪ t)
poetry,ˈpəʊɪtri,ˈ(p əʊ ∅) (∅ ɪ ∅) (tr i ∅)
point,pɔɪnt,(p ɔɪ nt)
poke,pəʊk,(p əʊ k)
pole,pəʊl,(p əʊ l)
